Illusion_Type,Illusion_Strength,Difference,Stimulus,data
Delboeuf,-1.0,-1.0,stimuli/Delboeuf_str-1.0_diff-1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,1.0,1.0,stimuli/Delboeuf_str1.0_diff1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,1.0,0.33333333333333326,stimuli/Delboeuf_str1.0_diff0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,1.0,-0.33333333333333337,stimuli/Delboeuf_str1.0_diff-0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,1.0,-1.0,stimuli/Delboeuf_str1.0_diff-1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,0.33333333333333326,0.33333333333333326,stimuli/Delboeuf_str0.33_diff0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,0.33333333333333326,-0.33333333333333337,stimuli/Delboeuf_str0.33_diff-0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,0.33333333333333326,-1.0,stimuli/Delboeuf_str0.33_diff-1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,0.33333333333333326,1.0,stimuli/Delboeuf_str0.33_diff1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,-0.33333333333333337,0.33333333333333326,stimuli/Delboeuf_str-0.33_diff0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,-0.33333333333333337,-0.33333333333333337,stimuli/Delboeuf_str-0.33_diff-0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,-0.33333333333333337,-1.0,stimuli/Delboeuf_str-0.33_diff-1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,-1.0,1.0,stimuli/Delboeuf_str-1.0_diff1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,-1.0,0.33333333333333326,stimuli/Delboeuf_str-1.0_diff0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Delboeuf,-1.0,-0.33333333333333337,stimuli/Delboeuf_str-1.0_diff-0.33.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowright'}"
Delboeuf,-0.33333333333333337,1.0,stimuli/Delboeuf_str-0.33_diff1.0.png,"{'screen': 'test', 'block': 'Delboeuf', 'correct_response': 'arrowleft'}"
Ebbinghaus,0.33333333333333326,-0.33333333333333337,stimuli/Ebbinghaus_str0.33_diff-0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,1.0,0.33333333333333326,stimuli/Ebbinghaus_str1.0_diff0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,1.0,-0.33333333333333337,stimuli/Ebbinghaus_str1.0_diff-0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,1.0,-1.0,stimuli/Ebbinghaus_str1.0_diff-1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,0.33333333333333326,1.0,stimuli/Ebbinghaus_str0.33_diff1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,0.33333333333333326,0.33333333333333326,stimuli/Ebbinghaus_str0.33_diff0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,0.33333333333333326,-1.0,stimuli/Ebbinghaus_str0.33_diff-1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,1.0,1.0,stimuli/Ebbinghaus_str1.0_diff1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,-0.33333333333333337,0.33333333333333326,stimuli/Ebbinghaus_str-0.33_diff0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,-0.33333333333333337,-0.33333333333333337,stimuli/Ebbinghaus_str-0.33_diff-0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,-0.33333333333333337,-1.0,stimuli/Ebbinghaus_str-0.33_diff-1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,-1.0,1.0,stimuli/Ebbinghaus_str-1.0_diff1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,-1.0,0.33333333333333326,stimuli/Ebbinghaus_str-1.0_diff0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
Ebbinghaus,-1.0,-0.33333333333333337,stimuli/Ebbinghaus_str-1.0_diff-0.33.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,-1.0,-1.0,stimuli/Ebbinghaus_str-1.0_diff-1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowright'}"
Ebbinghaus,-0.33333333333333337,1.0,stimuli/Ebbinghaus_str-0.33_diff1.0.png,"{'screen': 'test', 'block': 'Ebbinghaus', 'correct_response': 'arrowleft'}"
MullerLyer,50.0,0.3,stimuli/MullerLyer_str50.0_diff0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,50.0,0.09999999999999998,stimuli/MullerLyer_str50.0_diff0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,50.0,-0.1,stimuli/MullerLyer_str50.0_diff-0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,50.0,-0.3,stimuli/MullerLyer_str50.0_diff-0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,16.66666666666667,0.09999999999999998,stimuli/MullerLyer_str16.67_diff0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,16.66666666666667,-0.1,stimuli/MullerLyer_str16.67_diff-0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,16.66666666666667,-0.3,stimuli/MullerLyer_str16.67_diff-0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,16.66666666666667,0.3,stimuli/MullerLyer_str16.67_diff0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,-16.666666666666664,0.09999999999999998,stimuli/MullerLyer_str-16.67_diff0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,-16.666666666666664,-0.1,stimuli/MullerLyer_str-16.67_diff-0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,-16.666666666666664,-0.3,stimuli/MullerLyer_str-16.67_diff-0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,-50.0,0.3,stimuli/MullerLyer_str-50.0_diff0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,-50.0,0.09999999999999998,stimuli/MullerLyer_str-50.0_diff0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
MullerLyer,-50.0,-0.1,stimuli/MullerLyer_str-50.0_diff-0.1.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,-50.0,-0.3,stimuli/MullerLyer_str-50.0_diff-0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowdown'}"
MullerLyer,-16.666666666666664,0.3,stimuli/MullerLyer_str-16.67_diff0.3.png,"{'screen': 'test', 'block': 'MullerLyer', 'correct_response': 'arrowup'}"
Ponzo,20.0,-0.1,stimuli/Ponzo_str20.0_diff-0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,20.0,-0.3,stimuli/Ponzo_str20.0_diff-0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,6.666666666666668,0.3,stimuli/Ponzo_str6.67_diff0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,6.666666666666668,0.09999999999999998,stimuli/Ponzo_str6.67_diff0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,6.666666666666668,-0.1,stimuli/Ponzo_str6.67_diff-0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,6.666666666666668,-0.3,stimuli/Ponzo_str6.67_diff-0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,-6.666666666666666,0.3,stimuli/Ponzo_str-6.67_diff0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,-20.0,0.3,stimuli/Ponzo_str-20.0_diff0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,-6.666666666666666,-0.1,stimuli/Ponzo_str-6.67_diff-0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,-6.666666666666666,-0.3,stimuli/Ponzo_str-6.67_diff-0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,-20.0,0.09999999999999998,stimuli/Ponzo_str-20.0_diff0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,-20.0,-0.1,stimuli/Ponzo_str-20.0_diff-0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,-20.0,-0.3,stimuli/Ponzo_str-20.0_diff-0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowdown'}"
Ponzo,20.0,0.09999999999999998,stimuli/Ponzo_str20.0_diff0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,-6.666666666666666,0.09999999999999998,stimuli/Ponzo_str-6.67_diff0.1.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
Ponzo,20.0,0.3,stimuli/Ponzo_str20.0_diff0.3.png,"{'screen': 'test', 'block': 'Ponzo', 'correct_response': 'arrowup'}"
